Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
1024,8,8,0,1,13.3341,2.057,2.7146,45.637,46.129,39.2711,78,78,78,161.052,3.52899,0.943667,64
1024,16,16,0,1,9.19467,0.0100512,0,47.774,47.774,35.02,77,77,77,233.558,4.8888,1.3685,256
1024,32,32,0,1,6.74726,0.00111326,0,42.833,46.227,34.7464,76,77,77,318.275,7.4306,1.86489,1024
1024,16,32,0,1,8.99469,0.0128873,0,45.735,45.735,34.5007,76,76,76,238.75,5.22029,1.39893,512
1024,32,16,0,1,6.91801,0.0516641,0,44.948,44.948,34.3129,76,76,76,310.419,6.90619,1.81886,512
2048,8,8,0,1,72.5207,14.5556,46.3983,72.8982,83.102,34.3002,76,77,77,236.896,3.24968,0.694032,64
2048,16,16,0,1,48.7263,12.5302,26.5124,61.713,75.146,38.5331,77,78,78,352.579,5.71321,1.03295,256
2048,32,32,0,1,35.5195,8.4739,18.5088,76.857,76.857,38.9937,78,79,79,483.674,6.29317,1.41701,1024
2048,16,32,0,1,46.4692,10.083,23.9745,62.888,75.392,39.1817,78,79,79,369.704,5.87877,1.08312,512
2048,32,16,0,1,40.1613,9.90519,19.5549,59.495,72.063,39.0765,79,80,80,427.772,7.19005,1.25324,512
4096,8,8,0,1,757.643,13.4368,523.301,68.8454,72.312,38.541,80,81,81,181.403,2.63494,0.265728,64
4096,16,16,0,1,380,15.7512,262.012,69.1815,74.853,38.637,79,79,79,361.681,5.22801,0.529807,256
4096,32,32,0,1,257.915,4.22723,178.854,72.4763,76.369,38.0371,76,77,77,532.884,7.35252,0.780591,1024
4096,16,32,0,1,329.138,3.38595,223.465,71.2193,76.467,35.6033,75,76,76,417.572,5.86318,0.611678,512
4096,32,16,0,1,291.602,7.32771,197.489,68.7868,75.537,37.2167,75,76,76,471.324,6.85196,0.690417,512
1024,8,8,1,0,13.3265,1.99406,3.64102,42.61,44.58,38.34,74,75,75,161.144,3.78183,0.944201,64
1024,16,16,1,0,9.12806,0.148129,0,46.03,46.03,34.063,74,75,75,235.262,5.11105,1.37849,256
1024,32,32,1,0,6.74441,0.00155777,0,42.241,42.241,33.924,74,75,75,318.409,7.53792,1.86568,1024
1024,16,32,1,0,8.99785,0.0176842,0,47.38,47.38,34.0047,75,75,75,238.666,5.03728,1.39844,512
1024,32,16,1,0,6.89369,0.0467332,0,43.201,43.201,34.2967,75,76,76,311.515,7.21082,1.82528,512
2048,8,8,1,0,70.4151,5.56031,44.4717,71.3994,76.467,34.2747,76,77,77,243.98,3.41712,0.714785,64
2048,16,16,1,0,46.9908,10.5014,26.1423,60.022,76.271,37.3992,77,78,78,365.601,6.09111,1.0711,256
2048,32,32,1,0,39.3891,10.0563,19.7203,70.151,76.467,38.8209,77,78,78,436.158,6.21742,1.27781,1024
2048,16,32,1,0,48.2175,13.8915,23.8098,71.574,71.574,39.0067,78,79,79,356.299,4.97806,1.04385,512
2048,32,16,1,0,39.0358,9.16678,20.8155,70.401,70.401,39.5217,78,80,80,440.106,6.25142,1.28937,512
4096,8,8,1,0,751.325,26.7618,520.521,70.1187,74.364,37.7466,80,81,81,182.929,2.60884,0.267962,64
4096,16,16,1,0,382.289,18.734,262.224,68.8971,72.846,37.6086,79,80,79,359.516,5.21816,0.526635,256
4096,32,32,1,0,259.771,3.88724,177.466,71.4936,73.139,38.2373,77,78,78,529.078,7.40035,0.775016,1024
4096,16,32,1,0,331.163,6.2019,224.259,69.5281,74.169,37.805,76,77,77,415.019,5.96909,0.607938,512
4096,32,16,1,0,290.306,6.15974,196.534,70.3432,76.076,35.8179,75,76,76,473.427,6.73025,0.693497,512
1024,8,8,1,1,13.2794,1.45879,2.08143,45.171,45.171,38.2392,74,75,75,161.716,3.58008,0.947553,64
1024,16,16,1,1,9.19594,0.00312436,0,0,35.897,33.9831,74,74,0,233.525,0,1.36831,256
1024,32,32,1,1,6.74678,0.00479835,0,44.974,44.974,33.8896,74,74,74,318.298,7.07737,1.86502,1024
1024,16,32,1,1,8.99483,0.0130654,0,45.861,45.861,33.8521,74,74,74,238.746,5.20587,1.3989,512
1024,32,16,1,1,6.89738,0.041108,0,44.679,44.679,33.9683,75,75,75,311.348,6.96855,1.8243,512
2048,8,8,1,1,70.5781,10.6783,43.528,71.227,78.811,34.0357,76,77,77,243.416,3.41747,0.713134,64
2048,16,16,1,1,47.0082,13.0935,26.9038,75.047,76.564,35.9836,76,78,77,365.466,4.86982,1.0707,256
2048,32,32,1,1,38.3599,10.2836,17.8127,71.183,71.183,38.7063,77,78,78,447.86,6.29166,1.31209,1024
2048,16,32,1,1,47.9247,13.1447,22.9992,58.684,72.943,38.9657,78,79,79,358.476,6.10859,1.05022,512
2048,32,16,1,1,39.0411,9.16017,21.4545,71.77,73.041,39.5945,78,79,79,440.046,6.13133,1.2892,512
4096,8,8,1,1,733.907,21.3965,506.906,68.1241,73.778,38.6262,79,81,81,187.27,2.74896,0.274322,64
4096,16,16,1,1,382.546,15.3737,263.157,67.8945,75.439,38.8587,79,80,80,359.274,5.29165,0.526281,256
4096,32,32,1,1,259.781,3.52539,177.949,71.9141,76.857,36.4299,77,78,78,529.056,7.35679,0.774985,1024
4096,16,32,1,1,332.152,5.54344,229.084,70.8045,72.454,38.2919,76,77,77,413.783,5.84402,0.606127,512
4096,32,16,1,1,293.352,7.79194,197.696,69.4391,74.312,38.0101,76,77,77,468.512,6.74709,0.686297,512
1024,8,8,2,0,9.12812,0.0184575,0,43.103,43.103,38.1027,75,75,75,235.26,5.45809,1.37848,64
1024,16,16,2,0,5.81501,0.0168304,0,0,33.823,34.1044,0,74,0,369.3,0,2.16387,256
1024,32,32,2,0,5.33313,0.0155614,0,40.984,40.984,33.8307,74,74,74,402.669,9.82502,2.35939,1024
1024,16,32,2,0,0.023104,0.011426,0,0,33.744,33.8266,0,74,0,92948.6,0,544.62,512
1024,32,16,2,0,0.0266816,0.00132843,0,33.842,36.489,33.8231,74,74,74,80485.6,2378.27,471.595,512
2048,8,8,2,0,49.3258,8.60006,25.4694,68.291,68.291,33.942,75,76,76,348.294,5.10015,1.02039,64
2048,16,16,2,0,30.3347,5.98516,15.1164,56.23,68.627,38.4711,76,77,77,566.344,10.0719,1.65921,256
2048,32,32,2,0,27.0805,7.75857,11.8236,53.906,55.281,37.3963,77,78,78,634.4,11.7686,1.8586,1024
2048,16,32,2,0,0.0590176,0.000498636,0,35.008,53.447,38.7374,77,77,77,291097,8315.17,852.824,512
2048,32,16,2,0,0.0647488,0.000609547,0,34.811,56.951,34.6113,77,77,77,265331,7622.05,777.337,512
4096,8,8,2,0,435.094,19.3127,302.469,70.1446,79.542,34.5976,78,80,80,315.883,4.50331,0.462719,64
4096,16,16,2,0,257.637,17.0714,173.823,70.6154,73.139,39.1285,80,81,81,533.459,7.55444,0.781434,256
4096,32,32,2,0,175.257,2.04008,116.568,69.2763,75.537,39.4465,80,81,81,784.214,11.3201,1.14875,1024
4096,16,32,2,0,0.11271,0.015099,0,44.383,72.454,39.1929,79,79,78,1.2194e+06,27474.5,1786.23,512
4096,32,16,2,0,0.122499,0.022756,0,41.921,71.129,37.9869,77,77,76,1.12196e+06,26763.6,1643.49,512
1024,8,8,2,1,9.12345,0.00295682,0,44.948,44.948,38.3682,74,75,75,235.381,5.23673,1.37918,64
1024,16,16,2,1,5.80874,0.00150857,0,39.603,44.015,33.8819,74,74,74,369.699,9.33512,2.1662,256
1024,32,32,2,1,5.32725,0.0022917,0,40.491,40.491,33.6528,73,73,73,403.113,9.95562,2.36199,1024
1024,16,32,2,1,0.0232352,0.00327863,0,0,33.626,33.633,73,73,0,92423.7,0,541.545,512
1024,32,16,2,1,0.0275232,0.000956522,0,33.823,33.823,33.6337,74,74,74,78024.5,2306.85,457.175,512
2048,8,8,2,1,48.3218,10.4467,26.5957,81.834,83.492,33.7769,75,76,76,355.53,4.34453,1.04159,64
2048,16,16,2,1,34.0628,9.82461,16.0122,68.823,68.823,38.0268,76,76,76,504.359,7.32835,1.47761,256
2048,32,32,2,1,29.0925,8.93402,11.1407,66.425,73.086,38.383,76,77,77,590.525,8.8901,1.73005,1024
2048,16,32,2,1,0.058704,0.000594072,0,46.058,46.058,37.0882,76,76,76,292652,6354,857.38,512
2048,32,16,2,1,0.0646816,0.000527961,0,35.304,35.304,34.3943,77,77,76,265607,7523.42,778.145,512
4096,8,8,2,1,433.973,16.3244,299.001,69.7247,72.846,34.5071,78,80,80,316.7,4.54214,0.463915,64
4096,16,16,2,1,258.859,15.8639,176.242,70.9632,75.635,39.0037,80,81,81,530.941,7.48191,0.777745,256
4096,32,32,2,1,175.795,3.49754,116.508,70.249,75.439,38.0567,80,81,81,781.815,11.1292,1.14524,1024
4096,16,32,2,1,0.105507,0.015051,0,40.763,71.476,39.1934,78,78,78,1.30265e+06,31956.7,1908.18,512
4096,32,16,2,1,0.12241,0.0236025,0,43.891,71.085,37.8456,77,77,76,1.12278e+06,25581.1,1644.7,512
